========================================
nh2no_W1_Energy_1_34.9759.out
1.0 atm
T,P1->P2
200.0,3.58941e-13
250.0,6.33992e-13
300.0,8.96187e-13
350.0,1.11884e-12
400.0,1.29528e-12
450.0,1.42817e-12
500.0,1.52356e-12
550.0,1.58789e-12
600.0,1.62723e-12
650.0,1.64698e-12
========================================
nh2no_W1_Energy_1_34.9759.out
1.0 atm
T,P1->P3
200.0,4.1371e-11
250.0,2.98652e-11
300.0,2.22611e-11
350.0,1.70678e-11
400.0,1.33986e-11
450.0,1.07258e-11
500.0,8.72629e-12
550.0,7.19982e-12
600.0,6.00794e-12
650.0,5.06633e-12
========================================
nh2no_W1_Energy_1_34.9759.out
1.0 atm
T,P1->P4
200.0,9.58772e-18
250.0,9.84802e-18
300.0,1.0134e-17
350.0,1.04843e-17
400.0,1.0916e-17
450.0,1.1442e-17
500.0,1.20743e-17
550.0,1.28284e-17
600.0,1.37196e-17
650.0,1.47683e-17
========================================
nh2no_W1_Energy_1_34.9759.out
1.0 atm
T,P2->P3
200.0,4.28129e-11
250.0,3.90875e-11
300.0,3.62112e-11
350.0,3.39001e-11
400.0,3.19857e-11
450.0,3.03623e-11
500.0,2.89578e-11
550.0,2.77202e-11
600.0,2.66112e-11
650.0,2.56033e-11
========================================
nh2no_W1_Energy_1_34.9759.out
1.0 atm
T,P2->P4
200.0,6.11321e-17
250.0,7.84487e-17
300.0,9.93867e-17
350.0,1.24795e-16
400.0,1.55517e-16
450.0,1.92308e-16
500.0,2.35797e-16
550.0,2.86481e-16
600.0,3.44758e-16
650.0,4.10958e-16
========================================
nh2no_W1_Energy_1_34.9759.out
1.0 atm
T,P4->P3
200.0,1.74661e-56
250.0,2.71126e-51
300.0,1.58482e-46
350.0,3.10322e-42
400.0,1.11959e-38
450.0,8.30453e-36
500.0,1.79636e-33
550.0,1.52542e-31
600.0,6.33046e-30
650.0,1.50477e-28
========================================
nh2no_W1_Frequencies_1_0.1.out
1.0 atm
T,P1->P2
200.0,3.62494e-13
250.0,6.38439e-13
300.0,9.00966e-13
350.0,1.1236e-12
400.0,1.29981e-12
450.0,1.43239e-12
500.0,1.52743e-12
550.0,1.59139e-12
600.0,1.63038e-12
650.0,1.6498e-12
========================================
nh2no_W1_Frequencies_1_0.1.out
1.0 atm
T,P1->P3
200.0,4.0076e-11
250.0,2.89555e-11
300.0,2.16166e-11
350.0,1.6601e-11
400.0,1.30527e-11
450.0,1.0464e-11
500.0,8.52467e-12
550.0,7.04179e-12
600.0,5.88259e-12
650.0,4.9656e-12
========================================
nh2no_W1_Frequencies_1_0.1.out
1.0 atm
T,P1->P4
200.0,9.945e-18
250.0,1.00865e-17
300.0,1.03016e-17
350.0,1.06073e-17
400.0,1.10093e-17
450.0,1.15146e-17
500.0,1.2132e-17
550.0,1.28751e-17
600.0,1.37578e-17
650.0,1.48e-17
========================================
nh2no_W1_Frequencies_1_0.1.out
1.0 atm
T,P2->P3
200.0,4.27201e-11
250.0,3.90279e-11
300.0,3.61702e-11
350.0,3.38705e-11
400.0,3.19636e-11
450.0,3.03454e-11
500.0,2.89445e-11
550.0,2.77097e-11
600.0,2.66027e-11
650.0,2.55964e-11
========================================
nh2no_W1_Frequencies_1_0.1.out
1.0 atm
T,P2->P4
200.0,6.11775e-17
250.0,7.8481e-17
300.0,9.94105e-17
350.0,1.24814e-16
400.0,1.55531e-16
450.0,1.92319e-16
500.0,2.35806e-16
550.0,2.86489e-16
600.0,3.44764e-16
650.0,4.10963e-16
========================================
nh2no_W1_Frequencies_1_0.1.out
1.0 atm
T,P4->P3
200.0,1.74661e-56
250.0,2.71126e-51
300.0,1.58489e-46
350.0,3.10336e-42
400.0,1.11961e-38
450.0,8.30454e-36
500.0,1.79635e-33
550.0,1.52541e-31
600.0,6.33042e-30
650.0,1.50477e-28
