Pressure (atm),Temperature (K),W1_Energy_1_W2->P1,W1_Energy_1_W2->P2,W1_Frequencies_1_W2->P1,W1_Frequencies_1_W2->P2
0.1,250.0,-7.282039296037641,1.2761772815175108,2.4355970010324097,-6.524960803809489
0.1,260.0,-8.484345743498057,-1.4361196591648704,3.881024369237707,6.055086508565566
0.1,270.0,-8.009336445724408,-1.865329792599093,3.76611292341533,7.094653761198661
0.1,280.0,-6.688681155772095,-1.346434188075686,3.1664110602539997,3.984009765764116
0.1,290.0,-5.010872953193498,-0.5635635490366361,2.558690539784424,0.20186251788535187
0.1,300.0,-3.2583182455802975,0.15882139724634875,2.118425969466185,-2.8086027847039907
0.1,310.0,-1.58918032003503,0.6905379721202098,1.8776838748143772,-4.622109368085941
0.1,320.0,-0.08671337907795922,1.0021755294714563,1.80732733898061,-5.286349891986077
0.1,330.0,1.210766600305126,1.1128167643726186,1.8583626291421618,-5.037028944194757
0.1,340.0,2.291569193147363,1.0614070652146532,1.9814689549360605,-4.155009029021325
0.1,350.0,3.159402835235607,0.8916333329207223,2.1351170894321303,-2.9000978658333265
0.1,360.0,3.8264901183783904,0.644445686960912,2.2879338832695897,-1.4851862329313754
0.1,370.0,4.30936134977439,0.35482628382913456,2.4183523632025627,-0.07074971041037788
0.1,380.0,4.626308350808936,0.05084622330778463,2.5131462920974235,1.2311471438351893
0.1,390.0,4.795870510668733,-0.24611037562228968,2.5656594787305678,2.349109142173286
0.1,400.0,4.835963005594165,-0.5205868671288333,2.574113667222917,3.2438686882744205
0.1,410.0,4.763403474447004,-0.7621061006070436,2.540153083054079,3.90033263391384
0.1,420.0,4.593684226569518,-0.9642162710229114,2.4676685234437126,4.320777304690918
0.1,430.0,4.340893760325462,-1.1236188744589302,2.3618888682446575,4.519323958463945
0.1,440.0,4.017727001759063,-1.2394144899180906,2.2287049502267333,4.517621517211504
0.1,450.0,3.6355461764489823,-1.3124737592939892,2.0741842834553568,4.341577867753793
0.1,460.0,3.2044684958946275,-1.3449265742848788,1.9042366718628518,4.018957991702867
0.1,470.0,2.7334659096034355,-1.3397560571303573,1.7243956278336647,3.5776747586721824
0.1,480.0,2.2304679447421347,-1.3004818819160409,1.5396864456642183,3.0446190042760892
0.1,490.0,1.702462322694,-1.2309177464918526,1.3545575364534725,2.444900335166765
0.1,500.0,1.1555903637862703,-1.1349891753028771,1.1728567343109397,1.801394378192546
0.1,510.0,0.5952356504541814,-1.0165996376375521,0.9978385682116819,1.1345138715976206
0.1,520.0,0.026105324201201246,-0.8795348393707912,0.8321919684019509,0.46213938662461285
0.1,530.0,-0.5476960585644444,-0.7273968044532114,0.6780806264363175,-0.20033944217087243
0.1,540.0,-1.122599864335793,-0.5635609230741662,0.5371903643966122,-0.8399092029024906
0.1,550.0,-1.6955134886276768,-0.3911504816843193,0.41077950330460833,-1.445772005077092
0.1,560.0,-2.263766718316363,-0.21302431098655925,0.2997294545701329,-2.009158886839319
0.1,570.0,-2.825063807704161,-0.03177411124892511,0.20459367758102465,-2.523131747491418
0.1,580.0,-3.3774407295505458,0.15027123484220825,0.12564382248434078,-2.982383912107468
0.1,590.0,-3.919227085741063,0.3310364469795937,0.06291236727800761,-3.383046199251468
0.1,600.0,-4.449012196291266,0.5086873319967761,0.016231407346566577,-3.722502960758045
0.1,610.0,-4.965614924219928,0.6816161879779536,-0.014732500853960344,-3.999220801572673
0.1,620.0,-5.468056833936476,0.8484260453287801,-0.03044737503940834,-4.212591415509
0.1,630.0,-5.955538320021276,1.0079144260389878,-0.03148854686836306,-4.362789070342639
0.1,640.0,-6.427417380449214,1.1590571183134717,-0.018514865878992624,-4.450642650585972
0.1,650.0,-6.883190742760678,1.3009923213242396,0.007751908510202996,-4.477521747281392
0.1,660.0,-7.322477083205153,1.4330054053783905,0.04654481803423944,-4.44523601701958
0.1,670.0,-7.745002107405258,1.5545144493150846,0.09706681102966243,-4.355946875540708
0.1,680.0,-8.150585286735259,1.6650566538580038,0.15850352457688524,-4.212090513619892
0.1,690.0,-8.539128067548303,1.7642756824966848,0.23003401027898437,-4.016311200928847
0.1,700.0,-8.91060339084667,1.851909946698953,0.3108396517125271,-3.7714038597600066
0.1,800.0,-11.715927901783717,2.082289618128634,1.4617417981871133,0.736049473535972
0.1,900.0,-13.059562450697548,1.2562106412553948,2.812926496589904,7.14691725842347
0.1,1000.0,-13.27436445960457,-0.3522464221316037,3.9834344300270086,13.580343012425601
0.1,1100.0,-12.667262138468871,-2.4755024827997727,4.809771164324022,19.0525920692438
0.1,1200.0,-11.482748075094804,-4.905874201262491,5.25274393734949,23.172004080410343
0.1,1300.0,-9.90482965674028,-7.49552869239878,5.333884545706107,25.874167690663533
0.1,1400.0,-8.068430886902684,-10.143759909619728,5.099630771466289,27.25478319934409
0.1,1500.0,-6.0711732010581825,-12.78397902790712,4.602969045918454,27.47568962929676
0.1,1600.0,-3.9831232934245326,-15.373393051239452,3.8947942184019833,26.715632626420742
0.1,1700.0,-1.8542483365877869,-17.88549791536625,3.020356403327336,25.146293634066133
0.1,1800.0,0.2800716332890894,-20.30481715418389,2.0182447511062565,22.92194825667903
0.1,1900.0,2.39502795924404,-22.62327554887999,0.9205596466344417,20.176192673789267
0.1,2000.0,4.4734744911736035,-24.837718056824837,-0.24641900954622187,17.022149095043957
0.1,2100.0,6.503822503796087,-26.94821747157617,-1.4614112167833726,13.554232324813565
0.1,2200.0,8.47851496698894,-28.956921627382947,-2.707325928941068,9.85047942173679
0.1,2300.0,10.392917668795352,-30.867269115516144,-3.97052858014767,5.974943755916406
0.1,2400.0,12.244510684856769,-32.683456950861945,-5.2402095121138235,1.9799219758013153
0.5,250.0,-13.382776113459345,-0.4165137538016312,9.299652657173214,-0.5356305199341039
0.5,260.0,-27.5837613132004,-0.10855662238112657,-1.2998809869942303,0.7164370010618664
0.5,270.0,-28.68575447337602,-0.06086001648770388,-1.339518684533436,0.7926995718164873
0.5,280.0,-23.317448284057683,-0.10505082961249229,2.473737437194805,0.4527808459557426
0.5,290.0,-15.318407014426317,-0.1639612437279472,6.900397286129166,0.05209334685795899
0.5,300.0,-6.839496414942542,-0.20692399508553966,10.541821069323094,-0.2635763083713736
0.5,310.0,0.9843713213563231,-0.22589475696536337,12.944517193033123,-0.4527606045302901
0.5,320.0,7.621678525030459,-0.2229056437783372,14.111642226055764,-0.5220814874872546
0.5,330.0,12.891256691102388,-0.20366432875631166,14.241516129324598,-0.49696057669841487
0.5,340.0,16.807609221259206,-0.17445611593264204,13.592236081789265,-0.40701865659225767
0.5,350.0,19.48712767217557,-0.14079005273159784,12.415667924479072,-0.2793730032174935
0.5,360.0,21.09206063306622,-0.1069375786557372,10.928925010768355,-0.13607529359301276
0.5,370.0,21.79785970529088,-0.07590315446804118,9.305471820049812,0.006373898101979145
0.5,380.0,21.77493344849323,-0.04958228815910252,7.6759380374994155,0.13655200279972474
0.5,390.0,21.179199320956418,-0.02898114080588423,6.133232751577963,0.24727350758276861
0.5,400.0,20.147923456544326,-0.01443654598094268,4.739091330284522,0.3346801561457768
0.5,410.0,18.798656876325282,-0.005809827808332607,3.530611033855387,0.397402057612585
0.5,420.0,17.22990760174511,-0.0026456950842239893,2.5261159742092225,0.43584458535567394
0.5,430.0,15.522712399245576,-0.00429625483472843,1.7301131291642438,0.45161251231640526
0.5,440.0,13.742602519986443,-0.010014044524532825,1.137317088105781,0.44706218767133155
0.5,450.0,11.941665700182437,-0.019019275829932323,0.7358230261398193,0.42496417722731006
0.5,460.0,10.160536616512488,-0.030546508875771292,0.5095471940238272,0.3882567560834425
0.5,470.0,8.430228346829425,-0.04387543523841871,0.4400616139853116,0.33987168141691937
0.5,480.0,6.773766261208824,-0.05834970975823226,0.507941334382283,0.28261600813449306
0.5,490.0,5.2076147210517005,-0.07338701977601167,0.6937276723312343,0.2190964089607272
0.5,500.0,3.7429033912455423,-0.08848289994908502,0.9785942233638787,0.1516750633531538
0.5,510.0,2.386468606253735,-0.10321022187331975,1.3447864690695943,0.08244848579033963
0.5,520.0,1.1417291001372931,-0.11721581420739689,1.7758916441566905,0.013242608997472146
0.5,530.0,0.009416438225577342,-0.13021529188306868,2.256983480684491,-0.05438097309875373
0.5,540.0,-1.0118201085246812,-0.14198687878030525,2.7746765032971417,-0.11911142869708231
0.5,550.0,-1.924915965148783,-0.1523647823955037,3.3171165055829652,-0.17987060716380324
