    E, kcal/mol    D, mol/kcal         W0->W4         W0->W2         W0->W1         W0->W3         W0->P1
             -2              0            ***            ***            ***            ***            ***
          -1.95              0            ***            ***            ***            ***            ***
           -1.9              0            ***            ***            ***            ***            ***
          -1.85              0            ***            ***            ***            ***            ***
           -1.8              0            ***            ***            ***            ***            ***
          -1.75              0            ***            ***            ***            ***            ***
           -1.7              0            ***            ***            ***            ***            ***
          -1.65              0            ***            ***            ***            ***            ***
           -1.6              0            ***            ***            ***            ***            ***
          -1.55              0            ***            ***            ***            ***            ***
           -1.5              0            ***            ***            ***            ***            ***
          -1.45              0            ***            ***            ***            ***            ***
           -1.4              0            ***            ***            ***            ***            ***
          -1.35              0            ***            ***            ***            ***            ***
           -1.3              0            ***            ***            ***            ***            ***
          -1.25              0            ***            ***            ***            ***            ***
           -1.2              0            ***            ***            ***            ***            ***
          -1.15              0            ***            ***            ***            ***            ***
           -1.1              0            ***            ***            ***            ***            ***
          -1.05              0            ***            ***            ***            ***            ***
             -1              0            ***            ***            ***            ***            ***
          -0.95              0            ***            ***            ***            ***            ***
           -0.9              0            ***            ***            ***            ***            ***
          -0.85              0            ***            ***            ***            ***            ***
           -0.8              0            ***            ***            ***            ***            ***
          -0.75              0            ***            ***            ***            ***            ***
           -0.7              0            ***            ***            ***            ***            ***
          -0.65              0            ***            ***            ***            ***            ***
           -0.6              0            ***            ***            ***            ***            ***
          -0.55              0            ***            ***            ***            ***            ***
           -0.5              0            ***            ***            ***            ***            ***
          -0.45              0            ***            ***            ***            ***            ***
           -0.4              0            ***            ***            ***            ***            ***
          -0.35              0            ***            ***            ***            ***            ***
           -0.3              0            ***            ***            ***            ***            ***
          -0.25              0            ***            ***            ***            ***            ***
           -0.2              0            ***            ***            ***            ***            ***
          -0.15              0            ***            ***            ***            ***            ***
           -0.1              0            ***            ***            ***            ***            ***
          -0.05              0            ***            ***            ***            ***            ***
   -6.46322e-16              0            ***            ***            ***            ***            ***
           0.05              0            ***            ***            ***            ***            ***
            0.1              0            ***            ***            ***            ***            ***
           0.15              0            ***            ***            ***            ***            ***
            0.2        6679.48    4.25173e+12    1.14642e+13    6.94873e+12    5.20011e+12    1.29118e+13
           0.25        16440.3    2.58791e+12    8.33417e+12    5.29668e+12    3.71171e+12    8.66743e+12
